SL_No,STATE,PC_Name ,WINNER_NAME,CATEGORY,SOCIAL_CATEGORY,PARTY,PARTY_SYMBOL,MARGIN,No_Of_Polling_Station,Electors,Avg_No_of_Electors_Per_PS,Nominations,Contestants,Forefeited_Deposits,Voters,Voters_Turn_Out_Percent,Year
459,Uttar Pradesh,Etawah,Dr RAM SHANKAR KATHERIA,SC,SC,BJP,Lotus,64437,2049,1757984,858,17,13,11,1028811,59,2024
460,Uttar Pradesh,Jaunpur,SHYAM SINGH YADAV,GEN,GEN,BSP,Elephant,80936,1899,1867976,984,32,20,18,1041833,56,2024
461,Uttar Pradesh,Meerut,RAJENDRA AGARWAL,GEN,GEN,BJP,Lotus,4729,2007,1892931,943,15,11,9,1216940,64,2024
462,Uttar Pradesh,Kannauj,SUBRAT PATHAK,GEN,GEN,BJP,Lotus,12353,2242,1874824,836,22,10,8,1140985,61,2024
463,Uttar Pradesh,Machhlishahr,Bholanath (B.P. Saroj),SC,SC,BJP,Lotus,181,1935,1848306,955,18,15,13,1035410,56,2024
464,Uttar Pradesh,Baghpat,Dr. SATYAPAL SINGH,GEN,GEN,BJP,Lotus,23502,1796,1616476,900,13,13,11,1045607,65,2024
465,Uttar Pradesh,Kanpur,Satyadev Pachauri,GEN,GEN,BJP,Lotus,155934,1532,1632983,1066,27,14,12,843419,52,2024
466,Uttar Pradesh,Ghazipur,AFZAL ANSARI,GEN,GEN,BSP,Elephant,119392,2050,1881077,918,21,14,12,1107497,59,2024
467,Uttar Pradesh,Ghaziabad,Vijay Kumar Singh,GEN,GEN,BJP,Lotus,501500,2931,2728978,931,25,12,10,1525097,56,2024
468,Uttar Pradesh,Akbarpur,Devendra Singh 'Bhole',GEN,GEN,BJP,Lotus,275142,1917,1766121,921,35,14,12,1026633,58,2024
469,Uttar Pradesh,Chandauli,Dr. Mahendra Nath Pandey,GEN,GEN,BJP,Lotus,13959,1835,1756837,957,26,13,11,1086193,62,2024
470,Uttar Pradesh,Varanasi,NARENDRA MODI,GEN,GEN,BJP,Lotus,479505,1819,1856791,1021,102,26,24,1060829,57,2024
471,Uttar Pradesh,Gautam Buddha Nagar,Dr. MAHESH SHARMA,GEN,GEN,BJP,Lotus,336922,2397,2302960,961,21,13,11,1393141,60,2024
472,Uttar Pradesh,Jalaun,BHANU PRATAP SINGH VERMA,SC,SC,BJP,Lotus,158377,2326,1933358,831,13,5,3,1130746,58,2024
473,Uttar Pradesh,Bhadohi,RAMESH CHAND,GEN,GEN,BJP,Lotus,43615,2151,1942514,903,32,12,10,1039863,54,2024
474,Uttar Pradesh,Bulandshahr,BHOLA SINGH,SC,SC,BJP,Lotus,290057,2964,1787925,603,13,9,7,1125000,63,2024
475,Uttar Pradesh,Jhansi,Anurag Sharma,GEN,GEN,BJP,Lotus,365683,2329,2040739,876,21,11,9,1381130,68,2024
476,Uttar Pradesh,Hamirpur,KUNWAR PUSHPENDRA SINGH CHANDEL,GEN,GEN,BJP,Lotus,248652,1244,1749100,1406,18,14,12,1090029,62,2024
477,Uttar Pradesh,Mirzapur,Anupriya Singh Patel,GEN,GEN,ADAL,Cup & Saucer,232008,2089,1845150,883,23,9,7,1109059,60,2024
478,Uttar Pradesh,Aligarh,SATISH KUMAR GAUTAM,GEN,GEN,BJP,Lotus,229261,2129,1887127,886,20,14,12,1163950,62,2024
479,Uttar Pradesh,Banda,R.K. SINGH PATEL,GEN,GEN,BJP,Lotus,58938,1924,1702024,885,24,8,6,1034912,61,2024
480,Uttar Pradesh,Robertsganj,PAKAURI LAL KOL,SC,SC,ADAL,Cup & Saucer,54336,1875,1723538,919,24,12,10,988804,57,2024
481,Uttar Pradesh,Hathras,RAJVIR DILER,SC,SC,BJP,Lotus,260208,2203,1864320,846,11,8,6,1151461,62,2024
482,Uttar Pradesh,Mathura,HEMA MALINI,GEN,GEN,BJP,Lotus,293471,2014,1807893,898,25,13,11,1104325,61,2024
483,Uttar Pradesh,Fatehpur,NIRANJAN JYOTI,GEN,GEN,BJP,Lotus,198205,2045,1839312,899,17,10,8,1044489,57,2024
484,Uttar Pradesh,Agra,Satyapal Singh Baghel,SC,SC,BJP,Lotus,211546,2178,1937690,890,18,9,7,1145629,59,2024
485,Uttar Pradesh,Kaushambi,VINOD KUMAR SONKAR,SC,SC,BJP,Lotus,38722,1937,1787120,923,22,12,10,975037,55,2024
486,Uttar Pradesh,Fatehpur Sikri,RAJKUMAR CHAHAR,GEN,GEN,BJP,Lotus,495065,1967,1718837,874,25,15,14,1038460,60,2024
487,Uttar Pradesh,Phulpur,Keshari Devi Patel,GEN,GEN,BJP,Lotus,171968,2158,2010477,932,39,14,12,979077,49,2024
488,Uttar Pradesh,Firozabad,Dr. Chandra Sen Jadon,GEN,GEN,BJP,Lotus,28781,2040,1790510,878,22,6,4,1076574,60,2024
489,Uttar Pradesh,Allahabad,Rita Bahuguna Joshi,GEN,GEN,BJP,Lotus,184275,1922,1716160,893,23,14,12,889553,52,2024
490,Uttar Pradesh,Mainpuri,MULAYAM SINGH YADAV,GEN,GEN,SP,Bicycle,94389,2179,1723236,791,16,12,10,978261,57,2024
491,Uttar Pradesh,Barabanki,Upendra Singh Rawat,SC,SC,BJP,Lotus,110140,2166,1816830,839,17,13,11,1155708,64,2024
492,Uttar Pradesh,Etah,Rajveer Singh (Raju Bhaiya),GEN,GEN,BJP,Lotus,122670,1998,1621295,811,17,14,12,1000352,62,2024
493,Uttar Pradesh,Faizabad,LALLU SINGH,GEN,GEN,BJP,Lotus,65477,2116,1821785,861,31,13,11,1087420,60,2024
494,Uttar Pradesh,Badaun,Dr. Sanghmitra Maurya,GEN,GEN,BJP,Lotus,18454,2088,1891576,906,25,9,7,1081474,57,2024
495,Uttar Pradesh,Ambedkar Nagar,Ritesh Pandey,GEN,GEN,BSP,Elephant,95880,2062,1785657,866,20,11,9,1090615,61,2024
496,Uttarakhand,Hardwar,Ramesh Pokhriyal 'Nishank',GEN,GEN,BJP,Lotus,258729,2255,1840738,816,20,15,13,1273393,69,2024
497,Uttarakhand,Tehri Garhwal,MALA RAJYA LAXMI SHAH,GEN,GEN,BJP,Lotus,300586,2372,1493543,630,15,15,13,879183,59,2024
498,Uttarakhand,Garhwal,Tirath Singh Rawat,GEN,GEN,BJP,Lotus,302669,2244,1355796,604,12,9,7,748022,55,2024
499,Uttarakhand,Almora,Ajay Tamta,SC,SC,BJP,Lotus,232986,2154,1337808,621,8,6,4,699807,52,2024
500,Uttarakhand,Nainital-udhamsingh Nagar,Ajay Bhatt,GEN,GEN,BJP,Lotus,339096,2204,1828433,830,10,7,5,1261010,69,2024
501,West Bengal,Maldaha Dakshin,ABU HASEM KHAN CHOWDHURY (DALU),GEN,GEN,INC,Hand,8222,1616,1575590,975,12,10,7,1279977,81,2024
502,West Bengal,Asansol,BABUL SUPRIYO,GEN,GEN,BJP,Lotus,197637,1860,1615865,869,11,10,8,1238151,77,2024
503,West Bengal,Jangipur,KHALILUR RAHAMAN,GEN,GEN,AITC,Flowers and Grass,245782,1762,1616213,917,11,11,8,1304629,81,2024
504,West Bengal,Bolpur,ASIT KUMAR MAL,SC,SC,AITC,Flowers and Grass,106402,1957,1705073,871,7,7,5,1461929,86,2024
505,West Bengal,Birbhum,SATABDI ROY,GEN,GEN,AITC,Flowers and Grass,88924,1908,1699219,891,10,9,7,1450108,85,2024
506,West Bengal,Baharampur,ADHIR RANJAN CHOWDHURY,GEN,GEN,INC,Hand,80696,1844,1638378,888,11,11,9,1301033,79,2024
507,West Bengal,Murshidabad,ABU TAHER KHAN,GEN,GEN,AITC,Flowers and Grass,226417,1907,1725187,905,11,11,8,1454192,84,2024
508,West Bengal,Krishnanagar,MAHUA MOITRA,GEN,GEN,AITC,Flowers and Grass,63218,1812,1631698,900,11,11,9,1366601,84,2024
509,West Bengal,Ranaghat,JAGANNATH SARKAR,SC,SC,BJP,Lotus,233428,1971,1762252,894,12,7,5,1484797,84,2024
510,West Bengal,Bangaon,SHANTANU THAKUR,SC,SC,BJP,Lotus,111594,1899,1704632,898,10,10,8,1408653,83,2024
511,West Bengal,Barrackpore,ARJUN SINGH,GEN,GEN,BJP,Lotus,14857,1567,1436431,917,20,15,13,1104699,77,2024
512,West Bengal,Dum dum,SOUGATA RAY,GEN,GEN,AITC,Flowers and Grass,53002,1761,1566196,889,15,12,10,1204695,77,2024
513,West Bengal,Barasat,Dr. Kakoli Ghoshdastidar,GEN,GEN,AITC,Flowers and Grass,110169,1915,1718252,897,21,12,10,1396194,81,2024
514,West Bengal,Basirhat,Nusrat Jahan Ruhi,GEN,GEN,AITC,Flowers and Grass,350369,1861,1678357,902,14,13,11,1433769,85,2024
515,West Bengal,Jaynagar,PRATIMA MONDAL,SC,SC,AITC,Flowers and Grass,316775,1810,1648355,911,12,8,6,1356386,82,2024
516,West Bengal,Mathurapur,CHOUDHURY MOHAN JATUA,SC,SC,AITC,Flowers and Grass,203974,1848,1652096,894,9,9,7,1402019,85,2024
517,West Bengal,Diamond harbour,ABHISHEK BANERJEE,GEN,GEN,AITC,Flowers and Grass,320594,1912,1719190,899,11,10,8,1409373,82,2024
518,West Bengal,Jadavpur,MIMI CHAKRABORTY,GEN,GEN,AITC,Flowers and Grass,295239,2042,1816857,890,18,13,10,1437283,79,2024
519,West Bengal,Kolkata Dakshin,Mala Roy,GEN,GEN,AITC,Flowers and Grass,155192,2031,1728851,851,16,13,11,1207076,70,2024
520,West Bengal,Kolkata Uttar,BANDYOPADHYAY SUDIP,GEN,GEN,AITC,Flowers and Grass,127095,1862,1444082,776,21,21,19,950639,66,2024
521,West Bengal,Howrah,Prasun Banerjee,GEN,GEN,AITC,Flowers and Grass,103695,1868,1633925,875,21,19,17,1222708,75,2024
522,West Bengal,Uluberia,SAJDA AHMED,GEN,GEN,AITC,Flowers and Grass,215359,1826,1614988,884,10,10,8,1311120,81,2024
523,West Bengal,Srerampur,KALYAN BANERJEE,GEN,GEN,AITC,Flowers and Grass,98536,2033,1785472,878,11,11,9,1402259,79,2024
524,West Bengal,Hooghly,LOCKET CHATTERJEE,GEN,GEN,BJP,Lotus,73362,2039,1766601,866,9,9,7,1458634,83,2024
525,West Bengal,Arambagh,APARUPA PODDAR (AFRIN ALI),SC,SC,AITC,Flowers and Grass,1142,2058,1764726,857,9,9,7,1472462,83,2024
526,West Bengal,Tamluk,Adhikari Dibyendu,GEN,GEN,AITC,Flowers and Grass,190165,1891,1694646,896,12,12,10,1446940,85,2024
527,West Bengal,Kanthi,Adhikari Sisir,GEN,GEN,AITC,Flowers and Grass,111668,1860,1660147,893,9,7,5,1424966,86,2024
528,West Bengal,Ghatal,ADHIKARI DEEPAK (DEV),GEN,GEN,AITC,Flowers and Grass,107973,2074,1800002,868,7,7,5,1489338,83,2024
529,West Bengal,Cooch behar,NISITH PRAMANIK,SC,SC,BJP,Lotus,54231,2010,1814200,903,11,11,9,1525446,84,2024
530,West Bengal,Jhargram,Kunar Hembram,ST,ST,BJP,Lotus,11767,1994,1641868,823,13,9,7,1407231,86,2024
531,West Bengal,Alipurduars,JOHN BARLA,ST,ST,BJP,Lotus,243989,1834,1648383,899,8,7,5,1381176,84,2024
532,West Bengal,Medinipur,Dilip Ghosh,GEN,GEN,BJP,Lotus,88952,1930,1674236,867,9,9,7,1410321,84,2024
533,West Bengal,Jalpaiguri,Dr. JAYANTA KUMAR ROY,SC,SC,BJP,Lotus,184004,1868,1735464,929,16,12,10,1501379,87,2024
534,West Bengal,Purulia,JYOTIRMAY SINGH MAHATO,GEN,GEN,BJP,Lotus,204732,1873,1645884,879,15,15,13,1355861,82,2024
535,West Bengal,Darjeeling,RAJU BISTA,GEN,GEN,BJP,Lotus,413443,1899,1611317,849,21,16,14,1269666,79,2024
536,West Bengal,Bankura,DR. SUBHAS SARKAR,GEN,GEN,BJP,Lotus,174333,1936,1648906,852,20,15,13,1372645,83,2024
537,West Bengal,Raiganj,DEBASREE CHAUDHURI,GEN,GEN,BJP,Lotus,60574,1623,1601220,987,15,14,12,1278076,80,2024
538,West Bengal,Bishnupur,KHAN SAUMITRA,SC,SC,BJP,Lotus,78047,1870,1627199,870,9,9,7,1421191,87,2024
539,West Bengal,Balurghat,Sukanta Majumdar,GEN,GEN,BJP,Lotus,33293,1530,1431704,936,13,13,11,1198237,84,2024
540,West Bengal,Bardhaman Purba,SUNIL KUMAR MONDAL,SC,SC,AITC,Flowers and Grass,89311,1919,1698089,885,7,7,5,1439603,85,2024
541,West Bengal,Maldaha Uttar,KHAGEN MURMU,GEN,GEN,BJP,Lotus,84288,1713,1685955,984,16,16,13,1355367,80,2024
542,West Bengal,Bardhaman Durgapur,S.S AHLUWALIA,GEN,GEN,BJP,Lotus,2439,2006,1733578,864,6,6,4,1433189,83,2024
